MARQUE,REFCIALE,VCODE,VCODELIBELLE,VTYP,VARIANTE,VFABDIS,VVALEUR,VUNITE,VNUMV,VNUMR
BLAKLADER,463010718698S,COL,Sweat col camionneur en laine Marine foncé/Gris foncé,FABDIS,Marine foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,4630107186984XL,COL,Sweat col camionneur en laine Marine foncé/Gris foncé,FABDIS,Marine foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010718698M,COL,Sweat col camionneur en laine Marine foncé/Gris foncé,FABDIS,Marine foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010718698L,COL,Sweat col camionneur en laine Marine foncé/Gris foncé,FABDIS,Marine foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010718698XL,COL,Sweat col camionneur en laine Marine foncé/Gris foncé,FABDIS,Marine foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010718698XXL,COL,Sweat col camionneur en laine Marine foncé/Gris foncé,FABDIS,Marine foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010718698XXXL,COL,Sweat col camionneur en laine Marine foncé/Gris foncé,FABDIS,Marine foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010719098XS,COL,Sweat col camionneur en laine Gris chiné/Gris foncé,FABDIS,Gris chiné/Gris foncé,COLORM,,,1,1
BLAKLADER,463010719098S,COL,Sweat col camionneur en laine Gris chiné/Gris foncé,FABDIS,Gris chiné/Gris foncé,COLORM,,,1,1
BLAKLADER,4630107190984XL,COL,Sweat col camionneur en laine Gris chiné/Gris foncé,FABDIS,Gris chiné/Gris foncé,COLORM,,,1,1
BLAKLADER,463010719098M,COL,Sweat col camionneur en laine Gris chiné/Gris foncé,FABDIS,Gris chiné/Gris foncé,COLORM,,,1,1
BLAKLADER,463010719098L,COL,Sweat col camionneur en laine Gris chiné/Gris foncé,FABDIS,Gris chiné/Gris foncé,COLORM,,,1,1
BLAKLADER,463010719098XL,COL,Sweat col camionneur en laine Gris chiné/Gris foncé,FABDIS,Gris chiné/Gris foncé,COLORM,,,1,1
BLAKLADER,463010719098XXL,COL,Sweat col camionneur en laine Gris chiné/Gris foncé,FABDIS,Gris chiné/Gris foncé,COLORM,,,1,1
BLAKLADER,463010719098XXXL,COL,Sweat col camionneur en laine Gris chiné/Gris foncé,FABDIS,Gris chiné/Gris foncé,COLORM,,,1,1
BLAKLADER,463010719899XS,COL,Sweat col camionneur en laine Gris Foncé/Noir,FABDIS,Gris Foncé/Noir,COLORM,,,1,1
BLAKLADER,463010719899S,COL,Sweat col camionneur en laine Gris Foncé/Noir,FABDIS,Gris Foncé/Noir,COLORM,,,1,1
BLAKLADER,4630107198994XL,COL,Sweat col camionneur en laine Gris Foncé/Noir,FABDIS,Gris Foncé/Noir,COLORM,,,1,1
